tweet_id,favorites,retweets,user_followers,user_favourites,date_time
838476387338051585,22550,4777,8774398,146004,2017-03-05 19:48:43+00:00
838201503651401729,0,10077,8773692,146003,2017-03-05 01:36:26+00:00
838150277551247360,1677,332,8773692,146003,2017-03-04 22:12:52+00:00
838085839343206401,139,1,8773692,146003,2017-03-04 17:56:49+00:00
838083903487373313,17675,3142,8774398,146004,2017-03-04 17:49:08+00:00
837820167694528512,34233,7870,8773692,146003,2017-03-04 00:21:08+00:00
837482249356513284,3857,443,8773692,146003,2017-03-03 01:58:22+00:00
837471256429613056,12849,2279,8773692,146003,2017-03-03 01:14:41+00:00
837110210464448512,16120,2370,8773692,146003,2017-03-02 01:20:01+00:00
836989968035819520,12815,2293,8774398,146004,2017-03-01 17:22:13+00:00
836753516572119041,19388,4654,8774398,146004,2017-03-01 01:42:39+00:00
836677758902222849,12660,2233,8773692,146003,2017-02-28 20:41:37+00:00
836648853927522308,0,556,8773692,146003,2017-02-28 18:46:45+00:00
836397794269200385,0,27594,8774398,146004,2017-02-28 02:09:08+00:00
836380477523124226,14821,3002,8773692,146003,2017-02-28 01:00:19+00:00
836260088725786625,21401,4316,8773692,146003,2017-02-27 17:01:56+00:00
836001077879255040,19161,4282,8774398,146004,2017-02-26 23:52:43+00:00
835685285446955009,0,8165,8774398,146004,2017-02-26 02:57:52+00:00
835574547218894849,17873,3637,8774398,146004,2017-02-25 19:37:50+00:00
835536468978302976,0,1708,8774398,146004,2017-02-25 17:06:32+00:00
835309094223372289,0,21047,8774398,146004,2017-02-25 02:03:02+00:00
835297930240217089,16551,3029,8774398,146004,2017-02-25 01:18:40+00:00
835264098648616962,7777,1708,8774398,146004,2017-02-24 23:04:14+00:00
835246439529840640,2113,73,8773692,146003,2017-02-24 21:54:03+00:00
835172783151792128,26287,5793,8774398,146004,2017-02-24 17:01:22+00:00
835152434251116546,22516,3035,8774398,146004,2017-02-24 15:40:31+00:00
834931633769889797,10859,1652,8774398,146004,2017-02-24 01:03:08+00:00
834786237630337024,21447,5526,8774398,146004,2017-02-23 15:25:23+00:00
834574053763584002,13747,2552,8773692,146003,2017-02-23 01:22:14+00:00
834477809192075265,0,10712,8773692,146003,2017-02-22 18:59:48+00:00
834458053273591808,9678,1694,8773692,146003,2017-02-22 17:41:18+00:00
834209720923721728,20723,4782,8774398,146004,2017-02-22 01:14:30+00:00
834167344700198914,15918,3683,8774398,146004,2017-02-21 22:26:07+00:00
834089966724603904,10108,2150,8774398,146004,2017-02-21 17:18:39+00:00
834086379323871233,13147,2222,8774398,146004,2017-02-21 17:04:24+00:00
833863086058651648,13498,2421,8774398,146004,2017-02-21 02:17:06+00:00
833826103416520705,18154,3800,8774398,146004,2017-02-20 23:50:09+00:00
833732339549220864,0,222,8773692,146003,2017-02-20 17:37:34+00:00
833722901757046785,20932,3244,8774398,146004,2017-02-20 17:00:04+00:00
833479644947025920,14939,2066,8773692,146003,2017-02-20 00:53:27+00:00
833124694597443584,20335,4874,8774398,146004,2017-02-19 01:23:00+00:00
832998151111966721,13354,2218,8774398,146004,2017-02-18 17:00:10+00:00
832769181346996225,0,39,8773692,146003,2017-02-18 01:50:19+00:00
832757312314028032,16968,3654,8774398,146004,2017-02-18 01:03:09+00:00
832682457690300417,11970,2939,8774398,146004,2017-02-17 20:05:43+00:00
832645525019123713,2954,535,8773692,146003,2017-02-17 17:38:57+00:00
832636094638288896,15966,2815,8774398,146004,2017-02-17 17:01:29+00:00
832397543355072512,12046,2234,8773692,146003,2017-02-17 01:13:34+00:00
832369877331693569,17303,3215,8774398,146004,2017-02-16 23:23:38+00:00
832273440279240704,11436,2356,8773692,146003,2017-02-16 17:00:25+00:00
832215909146226688,0,6251,8773692,146003,2017-02-16 13:11:49+00:00
832215726631055365,0,9411,8774398,146004,2017-02-16 13:11:05+00:00
832088576586297345,63,2,8774398,146004,2017-02-16 04:45:50+00:00
832040443403784192,0,9700,8773692,146003,2017-02-16 01:34:34+00:00
832032802820481025,18004,4699,8774398,146004,2017-02-16 01:04:13+00:00
831939777352105988,24210,6192,8773692,146003,2017-02-15 18:54:34+00:00
831926988323639298,338,34,8774398,146004,2017-02-15 18:03:45+00:00
831911600680497154,27821,6561,8774398,146004,2017-02-15 17:02:36+00:00
831670449226514432,10535,1840,8773692,146003,2017-02-15 01:04:21+00:00
831650051525054464,7208,1945,8774398,146004,2017-02-14 23:43:18+00:00
831552930092285952,9055,2332,8773692,146003,2017-02-14 17:17:22+00:00
831322785565769729,9351,1564,8774398,146004,2017-02-14 02:02:51+00:00
831315979191906304,6599,1133,8774398,146004,2017-02-14 01:35:49+00:00
831309418084069378,11855,2484,8773692,146003,2017-02-14 01:09:44+00:00
831262627380748289,12013,2066,8774398,146004,2017-02-13 22:03:49+00:00
830956169170665475,8051,1512,8773692,146003,2017-02-13 01:46:03+00:00
830583320585068544,67460,16944,8773692,146003,2017-02-12 01:04:29+00:00
830173239259324417,0,5739,8774398,146004,2017-02-10 21:54:58+00:00
830097400375152640,9896,2980,8774398,146004,2017-02-10 16:53:37+00:00
829878982036299777,0,5080,8774398,146004,2017-02-10 02:25:42+00:00
